userId,작성일,평균기온(°C),옷 조합,온도
1,2024-04-24,13.2,"구두/로퍼, 반바지, 반팔 티, 셔츠/블라우스, 액세서리 없음, 재킷","[10, 15)"
1,2024-04-19,17.6,"기타 모자, 반바지, 반팔 티, 운동화, 재킷","[15, 20)"
1,2024-04-15,16.0,"구두/로퍼, 반바지, 반팔 티, 장목양말, 재킷","[15, 20)"
1,2024-04-09,15.3,"구두/로퍼, 나일론 팬츠, 반팔 티, 아우터 없음, 액세서리 없음","[15, 20)"
1,2024-04-05,14.0,"구두/로퍼, 면바지, 반팔 티, 액세서리 없음, 집업","[10, 15)"
1,2024-04-02,15.4,"구두/로퍼, 기타 모자, 긴팔 티, 데님팬츠, 집업","[15, 20)"
1,2024-03-26,7.4,"구두/로퍼, 기타 모자, 긴팔 티, 데님팬츠, 재킷","[5, 10)"
1,2024-03-22,10.4,"데님팬츠, 반팔 티, 액세서리 없음, 운동화, 재킷","[10, 15)"
1,2024-03-21,5.0,"기타 모자, 긴팔 티, 데님팬츠, 레더부츠, 재킷","[5, 10)"
1,2024-03-20,4.4,"기타 모자, 긴팔 티, 나일론 팬츠, 운동화, 재킷, 집업","[0, 5)"
1,2024-03-17,8.8,"기타 모자, 레더부츠, 반팔 티, 재킷, 트레이닝/조거 팬츠","[5, 10)"
1,2024-03-13,6.5,"기타 모자, 긴팔 티, 데님팬츠, 운동화, 재킷","[5, 10)"
1,2024-03-12,6.6,"기타 모자, 긴팔 티, 데님팬츠, 바람막이, 운동화","[5, 10)"
1,2024-03-11,6.2,"기타 모자, 운동화, 재킷, 트레이닝/조거 팬츠, 후드티","[5, 10)"
1,2024-03-07,3.9,"구두/로퍼, 면바지, 반팔 티, 액세서리 없음, 재킷","[0, 5)"
1,2024-03-04,5.4,"기타 모자, 긴팔 티, 데님팬츠, 스니커즈/캔버스, 점퍼","[5, 10)"
1,2024-02-29,4.8,"기타 모자, 니트, 데님팬츠, 반팔 티, 운동화, 재킷","[0, 5)"
1,2024-02-26,3.8,"구두/로퍼, 긴팔 티, 데님팬츠, 액세서리 없음, 재킷","[0, 5)"
1,2024-02-26,3.8,"기타 모자, 긴팔 티, 면바지, 스니커즈/캔버스, 점퍼","[0, 5)"
1,2024-02-22,0.2,"기타 모자, 긴팔 티, 운동화, 트레이닝/조거 팬츠, 패딩","[0, 5)"
1,2024-02-20,4.3,"긴팔 티, 데님팬츠, 레더부츠, 액세서리 없음, 재킷, 집업","[0, 5)"
