지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),평균 풍속(m/s),평균 상대습도(%)
108,서울,2022-08-01,28.6,25.4,32.4,14.83,2.4,82.4
108,서울,2022-08-02,26.8,25.5,28.5,18.58,2.8,90
108,서울,2022-08-03,27.1,25.2,30,13.25,2.8,90.1
108,서울,2022-08-04,28.9,26,32.9,.42,2.5,79.3
108,서울,2022-08-05,29.4,27,32.7,.5,2.6,76.6
108,서울,2022-08-06,28.7,27.4,30.3,1.67,1.7,85.3
108,서울,2022-08-07,28.9,27.2,31.7,3.33,2.4,82.1
108,서울,2022-08-08,26.8,,28.4,20.92,3.3,91.6
108,서울,2022-08-09,25.1,22,26.5,21.5,2.6,96
108,서울,2022-08-10,24.7,21.4,28.8,6.5,1.6,85.3
108,서울,2022-08-11,25,23.4,27.5,10.67,1.6,87.9
108,서울,2022-08-12,27,23,32.4,,1.7,73.8
108,서울,2022-08-13,25.8,24.7,27.5,4.67,1.3,82.8
108,서울,2022-08-14,27.6,24.5,31.5,1.5,1.9,83
108,서울,2022-08-15,28.1,26.6,29.8,4.42,4.8,83
108,서울,2022-08-16,26.7,24.1,30,.75,2.6,75.4
108,서울,2022-08-17,26,22.8,30.5,.75,2,76.6
108,서울,2022-08-18,25.6,22.4,29.8,,1.9,75.8
108,서울,2022-08-19,26,23.3,27.5,10.33,2.3,86.1
108,서울,2022-08-20,28.2,25.7,32,1.83,2.4,80
108,서울,2022-08-21,28.1,24.7,32,,1.7,75.3
108,서울,2022-08-22,26.8,22.9,30.2,2,2.3,75.6
108,서울,2022-08-23,25.4,22.4,30.2,6.17,2,75
108,서울,2022-08-24,24.8,22.4,27.9,,2.5,66.9
108,서울,2022-08-25,22.2,21.1,24,7.08,1.8,78
108,서울,2022-08-26,23.8,19.9,28.4,,2.4,75.3
108,서울,2022-08-27,21.5,17.6,25.5,.58,2.8,63.1
108,서울,2022-08-28,22.6,16.1,28.4,,1.7,59.4
108,서울,2022-08-29,21,19.5,22.5,11.58,2.3,74
108,서울,2022-08-30,19.1,17.9,20.3,21.42,2.6,96.3
108,서울,2022-08-31,21.7,19.6,24.9,4.17,1.8,83.3
108,서울,2022-09-01,24,18.3,30.4,,1.7,70.8
108,서울,2022-09-02,24.7,20.3,29.8,,3.1,61.8
108,서울,2022-09-03,24.2,20.5,29.2,,3.4,63
108,서울,2022-09-04,22.3,19.8,24,13.67,3.1,88.6
108,서울,2022-09-05,19.2,17.7,22.7,24,3.2,95.9
108,서울,2022-09-06,21,17,26.3,8.92,3.6,78
108,서울,2022-09-07,22.8,17.9,28.1,,1.9,65.3
108,서울,2022-09-08,23.2,16.7,29.5,,1.6,65.5
108,서울,2022-09-09,24.3,18.9,30.8,,2,59.1
108,서울,2022-09-10,23.6,19,28.4,,2.6,52.3
108,서울,2022-09-11,23.3,20.6,26.4,1.83,2.1,68.6
108,서울,2022-09-12,23.8,20.3,27.5,,1.6,76.1
108,서울,2022-09-13,24.3,21.8,26.4,4.83,2.5,73
