userId,name,상의,아우터,하의,신발,엑세서리,작성일,체중,키,스타일,비고,image
1,kidcoji,민소매 티,재킷,트레이닝/조거 팬츠,운동화,,2023년 2월 6일,50,158,스트릿,,
1,kidcoji,민소매 티,집업,반바지,운동화,,2023년 2월 18일,50,158,스트릿,,
1,kidcoji,맨투맨,,트레이닝/조거 팬츠,운동화,,2023년 3월 20일,50,158,스트릿,,
1,kidcoji,반팔 티,집업,반바지,운동화,,2023년 4월 20일,50,158,스트릿,,
1,kidcoji,반팔 티,집업,트레이닝/조거 팬츠,운동화,,2023년 4월 22일,50,158,스트릿,,
1,kidcoji,반팔 티,,트레이닝/조거 팬츠,샌들/슬리퍼,기타 모자,2023년 5월 25일,50,158,스트릿,,
1,kidcoji,반팔 티,,카고바지,운동화,,2023년 6월 5일,50,158,스트릿,,
1,kidcoji,반팔 티,가디건,반바지,스니커즈/캔버스,,2023년 6월 7일,50,158,스트릿,,
1,kidcoji,반팔 티,,트레이닝/조거 팬츠,운동화,,2023년 6월 12일,50,158,스트릿,,
1,kidcoji,반팔 티,,카고바지,운동화,기타 모자,2023년 6월 16일,50,158,스트릿,,
1,kidcoji,민소매 티,,반바지,운동화,,2023년 7월 6일,50,158,스트릿,,
1,kidcoji,반팔 티,,카고바지,운동화,,2023년 7월 7일,50,158,스트릿,,
1,kidcoji,"반팔 셔츠/블라우스, 반팔 티",,면바지,운동화,,2023년 7월 20일,50,158,스트릿,,
1,kidcoji,반팔 티,,트레이닝/조거 팬츠,샌들/슬리퍼,기타 모자,2023년 7월 26일,50,158,스트릿,,
1,kidcoji,민소매 티,,트레이닝/조거 팬츠,운동화,기타 모자,2023년 9월 17일,50,158,스트릿,,
1,kidcoji,민소매 티,"가디건, 패딩",트레이닝/조거 팬츠,운동화,기타 모자,2023년 11월 7일,50,158,스트릿,,
1,kidcoji,후드티,,트레이닝/조거 팬츠,운동화,기타 모자,2024년 2월 27일,50,158,스트릿,,
1,kidcoji,민소매 티,가디건,데님팬츠,운동화,,2024년 2월 28일,50,158,스트릿,,
1,kidcoji,민소매 티,가디건,트레이닝/조거 팬츠,운동화,기타 모자,2024년 3월 18일,50,158,스트릿,,
1,kidcoji,민소매 티,재킷,반바지,운동화,,2024년 3월 19일,50,158,스트릿,,
1,kidcoji,민소매 티,가디건,데님팬츠,운동화,,2024년 4월 5일,50,158,스트릿,,
2,ssssss_00gh,긴팔 티,집업,데님팬츠,레더부츠,,2023년 11월 7일,49,160,스트릿,,
2,ssssss_00gh,긴팔 티,,데님팬츠,스니커즈/캔버스,,2023년 11월 11일,49,160,스트릿,,
2,ssssss_00gh,후드티,,트레이닝/조거 팬츠,스니커즈/캔버스,,2023년 11월 24일,49,160,스트릿,,
2,ssssss_00gh,맨투맨,,데님팬츠,운동화,스카프,2023년 11월 30일,49,160,스트릿,,
2,ssssss_00gh,"긴팔 티, 반팔 티",패딩조끼,트레이닝/조거 팬츠,스니커즈/캔버스,털 모자,2023년 12월 4일,49,160,스트릿,,
2,ssssss_00gh,후드티,,데님팬츠,스니커즈/캔버스,머플러,2023년 12월 12일,49,160,스트릿,,
2,ssssss_00gh,긴팔 티,재킷,트레이닝/조거 팬츠,레더부츠,,2023년 12월 18일,49,160,스트릿,,
2,ssssss_00gh,맨투맨,,데님팬츠,스니커즈/캔버스,기타 모자,2023년 12월 20일,49,160,스트릿,,
2,ssssss_00gh,긴팔 티,재킷,가죽 바지,스니커즈/캔버스,"머플러, 털 모자",2023년 12월 28일,49,160,스트릿,,
2,ssssss_00gh,후드티,집업,트레이닝/조거 팬츠,스니커즈/캔버스,,2023년 12월 29일,49,160,스트릿,,
2,ssssss_00gh,니트,재킷,데님팬츠,레더부츠,머플러,2023년 12월 30일,49,160,스트릿,,
2,ssssss_00gh,긴팔 티,패딩조끼,데님팬츠,레더부츠,,2023년 12월 31일,49,160,스트릿,,
2,ssssss_00gh,후드티,패딩조끼,미니/미디스커트,어그부츠,머플러,2024년 1월 8일,49,160,스트릿,,
2,ssssss_00gh,긴팔 티,재킷,데님팬츠,어그부츠,,2024년 1월 18일,49,160,스트릿,,
2,ssssss_00gh,긴팔 티,집업,데님팬츠,어그부츠,,2024년 1월 22일,49,160,스트릿,,
2,ssssss_00gh,긴팔 티,점퍼,데님팬츠,구두/로퍼,,2024년 1월 23일,49,160,스트릿,,
2,ssssss_00gh,후드티,,트레이닝/조거 팬츠,샌들/슬리퍼,,2024년 1월 31일,49,160,스트릿,,
2,ssssss_00gh,후드티,집업,데님팬츠,스니커즈/캔버스,,2024년 2월 2일,49,160,스트릿,,
2,ssssss_00gh,미니/미디원피스,재킷,데님팬츠,레더부츠,,2024년 2월 10일,49,160,스트릿,,
2,ssssss_00gh,반팔 티,재킷,데님팬츠,힐,,2024년 2월 13일,49,160,스트릿,,
2,ssssss_00gh,미니/미디원피스,재킷,데님팬츠,힐,,2024년 2월 22일,49,160,스트릿,,
2,ssssss_00gh,후드티,재킷,데님팬츠,레더부츠,,2024년 2월 29일,49,160,스트릿,,
2,ssssss_00gh,긴팔 티,재킷,데님팬츠,레더부츠,,2024년 3월 2일,49,160,스트릿,,
2,ssssss_00gh,후드티,패딩조끼,트레이닝/조거 팬츠,레더부츠,,2024년 3월 4일,49,160,스트릿,,
2,ssssss_00gh,긴팔 티,,트레이닝/조거 팬츠,어그부츠,기타 모자,2024년 3월 7일,49,160,스트릿,,
2,ssssss_00gh,후드티,,데님팬츠,스니커즈/캔버스,,2024년 3월 18일,49,160,스트릿,,
2,ssssss_00gh,긴팔 티,,데님팬츠,레더부츠,,2024년 3월 27일,49,160,스트릿,,
" 3",clotheslike_yw,반팔 티,재킷,미니/미디스커트,구두/로퍼,니삭스,2023년 8월 22일,50,170,"미니멀, 스트릿, 캐주얼",,
" 3",clotheslike_yw,반팔 티,,반바지,스니커즈/캔버스,장목양말,2023년 8월 24일,50,170,"미니멀, 스트릿, 캐주얼",,
" 3",clotheslike_yw,반팔 티,,미니/미디스커트,스니커즈/캔버스,장목양말,2023년 8월 28일,50,170,"미니멀, 스트릿, 캐주얼",,
" 3",clotheslike_yw,긴팔 티,,반바지,스니커즈/캔버스,장목양말,2023년 8월 31일,50,170,"미니멀, 스트릿, 캐주얼",,
" 3",clotheslike_yw,반팔 티,,미니/미디스커트,스니커즈/캔버스,,2023년 9월 4일,50,170,"미니멀, 스트릿, 캐주얼",,
" 3",clotheslike_yw,반팔 티,재킷,롱스커트,구두/로퍼,,2023년 9월 15일,50,170,"미니멀, 스트릿, 캐주얼",,
" 3",clotheslike_yw,셔츠/블라우스,재킷,미니/미디스커트,구두/로퍼,니삭스,2023년 9월 22일,50,170,"미니멀, 스트릿, 캐주얼",,
" 3",clotheslike_yw,긴팔 티,재킷,미니/미디스커트,레더부츠,,2023년 10월 11일,50,170,"미니멀, 스트릿, 캐주얼",,
" 3",clotheslike_yw,긴팔 티,코트,미니/미디스커트,,니삭스,2023년 10월 25일,50,170,"미니멀, 스트릿, 캐주얼",,
" 3",clotheslike_yw,"맨투맨, 셔츠/블라우스",,데님팬츠,스니커즈/캔버스,,2023년 10월 31일,50,170,"미니멀, 스트릿, 캐주얼",,
" 3",clotheslike_yw,후드티,재킷,미니/미디스커트,어그부츠,"스타킹, 장목양말",2023년 11월 12일,50,170,"미니멀, 스트릿, 캐주얼",,
" 3",clotheslike_yw,니트,코트,데님팬츠,어그부츠,기타 모자,2023년 11월 16일,50,170,"미니멀, 스트릿, 캐주얼",,
