userId,name,상의,아우터,하의,신발,액세서리,작성일,체중,키,스타일,비고,이미지
14,_jongh0,긴팔 티,재킷,면바지,스니커즈/캔버스,,2023년 1월 3일,65,178,캐주얼,,
14,_jongh0,긴팔 티,"가디건, 코트",데님팬츠,스니커즈/캔버스,기타 모자,2023년 1월 5일,65,178,캐주얼,,
14,_jongh0,"니트, 반팔 티","코트, 패딩조끼",데님팬츠,스니커즈/캔버스,기타 모자,2023년 1월 8일,65,178,캐주얼,,
14,_jongh0,긴팔 티,재킷,데님팬츠,레더부츠,,2023년 1월 14일,65,178,캐주얼,,
14,_jongh0,"반팔 티, 후드티",,데님팬츠,스니커즈/캔버스,기타 모자,2023년 1월 18일,65,178,캐주얼,,
14,_jongh0,"반팔 티, 후드티",,트레이닝/조거 팬츠,스니커즈/캔버스,기타 모자,2023년 1월 23일,65,178,캐주얼,,
14,_jongh0,"니트, 반팔 티",점퍼,데님팬츠,운동화,기타 모자,2023년 1월 25일,65,178,캐주얼,,
14,_jongh0,긴팔 티,재킷,면바지,레더부츠,기타 모자,2023년 1월 30일,65,178,캐주얼,,
14,_jongh0,긴팔 티,재킷,트레이닝/조거 팬츠,스니커즈/캔버스,기타 모자,2023년 2월 5일,65,178,캐주얼,,
14,_jongh0,긴팔 티,"점퍼, 집업",데님팬츠,운동화,기타 모자,2023년 2월 6일,65,178,캐주얼,,
14,_jongh0,긴팔 티,가디건,트레이닝/조거 팬츠,구두/로퍼,"기타 모자, 장목양말",2023년 2월 7일,65,178,캐주얼,,
14,_jongh0,"맨투맨, 반팔 티",,트레이닝/조거 팬츠,구두/로퍼,기타 모자,2023년 3월 1일,65,178,캐주얼,,
14,_jongh0,"맨투맨, 반팔 티",,데님팬츠,스니커즈/캔버스,기타 모자,2023년 3월 2일,65,178,캐주얼,,
14,_jongh0,"반팔 티, 후드티",,반바지,구두/로퍼,"기타 모자, 장목양말",2023년 3월 27일,65,178,캐주얼,,
14,_jongh0,반팔 티,,나일론 팬츠,스니커즈/캔버스,기타 모자,2023년 3월 28일,65,178,캐주얼,,
14,_jongh0,반팔 티,,나일론 팬츠,구두/로퍼,기타 모자,2023년 4월 2일,65,178,캐주얼,,
14,_jongh0,반팔 티,바람막이,반바지,운동화,"기타 모자, 장목양말",2023년 4월 24일,65,178,캐주얼,,
14,_jongh0,반팔 티,바람막이,나일론 팬츠,샌들/슬리퍼,"기타 모자, 장목양말",2023년 4월 26일,65,178,캐주얼,,
14,_jongh0,반팔 티,,나일론 팬츠,스니커즈/캔버스,기타 모자,2023년 4월 27일,65,178,캐주얼,,
14,_jongh0,반팔 티,,나일론 팬츠,운동화,기타 모자,2023년 4월 28일,65,178,캐주얼,,
14,_jongh0,반팔 티,바람막이,반바지,스니커즈/캔버스,"기타 모자, 장목양말",2023년 4월 30일,65,178,캐주얼,,
14,_jongh0,"반팔 셔츠/블라우스, 반팔 티",,반바지,운동화,"기타 모자, 장목양말",2023년 5월 1일,65,178,캐주얼,,
14,_jongh0,반팔 티,,데님팬츠,스니커즈/캔버스,기타 모자,2023년 5월 3일,65,178,캐주얼,,
14,_jongh0,반팔 티,바람막이,나일론 팬츠,스니커즈/캔버스,기타 모자,2023년 5월 4일,65,178,캐주얼,,
14,_jongh0,반팔 티,,면바지,스니커즈/캔버스,기타 모자,2023년 5월 5일,65,178,캐주얼,,
14,_jongh0,반팔 티,,반바지,샌들/슬리퍼,"기타 모자, 장목양말",2023년 5월 6일,65,178,캐주얼,,
14,_jongh0,"반팔 셔츠/블라우스, 반팔 티",가디건,면바지,샌들/슬리퍼,기타 모자,2023년 5월 7일,65,178,캐주얼,,
14,_jongh0,반팔 티,,나일론 팬츠,스니커즈/캔버스,기타 모자,2023년 5월 7일,65,178,캐주얼,,
14,_jongh0,반팔 티,,나일론 팬츠,스니커즈/캔버스,기타 모자,2023년 5월 8일,65,178,캐주얼,,
14,_jongh0,긴팔 티,조끼,반바지,샌들/슬리퍼,장목양말,2023년 5월 9일,65,178,캐주얼,크룩스,
14,_jongh0,반팔 티,바람막이,반바지,스니커즈/캔버스,"기타 모자, 장목양말",2023년 5월 10일,65,178,캐주얼,,
14,_jongh0,반팔 티,,반바지,스니커즈/캔버스,"기타 모자, 장목양말",2023년 5월 12일,65,178,캐주얼,,
14,_jongh0,"니트, 반팔 티",,반바지,구두/로퍼,"기타 모자, 장목양말",2023년 5월 14일,65,178,캐주얼,,
14,_jongh0,반팔 티,,데님팬츠,운동화,기타 모자,2023년 5월 15일,65,178,캐주얼,,
14,_jongh0,반팔 티,,반바지,구두/로퍼,"기타 모자, 장목양말",2023년 5월 16일,65,178,캐주얼,,
