userId,name,상의,아우터,하의,신발,액세서리,작성일,체중,키,스타일,비고,이미지
2,geun_the_look,"반팔 셔츠/블라우스, 반팔 티, 후드티",,반바지,구두/로퍼,장목양말,2024년 4월 16일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,반팔 티,재킷,데님팬츠,레더부츠,,2024년 4월 4일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,셔츠/블라우스,집업,트레이닝/조거 팬츠,운동화,비니,2024년 3월 18일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,긴팔 티,재킷,가죽 바지,구두/로퍼,,2024년 3월 7일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,"셔츠/블라우스, 후드티",,데님팬츠,스니커즈/캔버스,,2023년 11월 2일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,긴팔 티,점퍼,데님팬츠,스니커즈/캔버스,기타 모자,2023년 10월 29일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,"반팔 티, 셔츠/블라우스",,슬랙스,구두/로퍼,,2023년 10월 27일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,"니트, 반팔 티",,데님팬츠,구두/로퍼,,2023년 10월 20일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,반팔 티,바람막이,나일론 팬츠,운동화,비니,2023년 10월 18일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,반팔 티,바람막이,데님팬츠,운동화,,2023년 10월 16일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,후드티,가디건,데님팬츠,스니커즈/캔버스,,2023년 10월 14일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,긴팔 티,재킷,데님팬츠,레더부츠,비니,2023년 10월 13일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,반팔 티,가디건,데님팬츠,구두/로퍼,,2023년 10월 10일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,"맨투맨, 반팔 티",,트레이닝/조거 팬츠,스니커즈/캔버스,비니,2023년 10월 9일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,"긴팔 티, 맨투맨",,데님팬츠,운동화,,2023년 10월 8일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,"니트, 반팔 티",,데님팬츠,레더부츠,,2023년 10월 2일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,반팔 티,집업,트레이닝/조거 팬츠,스니커즈/캔버스,,2023년 10월 1일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,반팔 티,재킷,면바지,구두/로퍼,,2023년 9월 24일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,민소매 티,,반바지,운동화,장목양말,2023년 9월 23일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,반팔 티,재킷,반바지,스니커즈/캔버스,장목양말,2023년 9월 12일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,반팔 티,,반바지,스니커즈/캔버스,장목양말,2023년 9월 9일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,민소매 티,,나일론 팬츠,구두/로퍼,기타 모자,2023년 9월 8일,63,173,"댄디, 미니멀, 캐주얼",,
2,geun_the_look,"반팔 티, 후드티",,반바지,스니커즈/캔버스,"기타 모자, 장목양말",2023년 9월 5일,63,173,"댄디, 미니멀, 캐주얼",,
