userId,name,상의,아우터,하의,신발,액세서리,작성일,체중,키,스타일,비고,이미지
3,koko.iron,셔츠/블라우스,반팔,데님팬츠,스니커즈/캔버스,기타 모자,2024년 4월 30일,70,180,"미니멀, 캐주얼",,
3,koko.iron,반팔 티,,데님팬츠,스니커즈/캔버스,,2024년 4월 29일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"반팔 티, 셔츠/블라우스",,데님팬츠,스니커즈/캔버스,비니,2024년 4월 27일,70,180,"미니멀, 캐주얼",,
3,koko.iron,반팔 티,,데님팬츠,운동화,기타 모자,2024년 4월 25일,70,180,"미니멀, 캐주얼",,
3,koko.iron,반팔 티,가디건,데님팬츠,스니커즈/캔버스,,2024년 4월 24일,70,180,"미니멀, 캐주얼",,
3,koko.iron,반팔 티,,데님팬츠,스니커즈/캔버스,기타 모자,2024년 4월 23일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"반팔 니트, 반팔 티",,면바지,스니커즈/캔버스,,2024년 4월 22일,70,180,"미니멀, 캐주얼",,
3,koko.iron,긴팔 티,,반바지,스니커즈/캔버스,"기타 모자, 장목양말",2024년 4월 21일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"반팔 티, 셔츠/블라우스",,데님팬츠,구두/로퍼,,2024년 4월 20일,70,180,"미니멀, 캐주얼",,
3,koko.iron,반팔 티,,데님팬츠,스니커즈/캔버스,비니,2024년 4월 19일,70,180,"미니멀, 캐주얼",,
3,koko.iron,반팔 티,,데님팬츠,구두/로퍼,,2024년 4월 18일,70,180,"미니멀, 캐주얼",,
3,koko.iron,반팔 티,,데님팬츠,스니커즈/캔버스,기타 모자,2024년 4월 17일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"니트, 반팔 티",,데님팬츠,스니커즈/캔버스,,2024년 4월 16일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"맨투맨, 반팔 티",,면바지,스니커즈/캔버스,기타 모자,2024년 4월 15일,70,180,"미니멀, 캐주얼",,
3,koko.iron,반팔 티,집업,데님팬츠,스니커즈/캔버스,기타 모자,2024년 4월 14일,70,180,"미니멀, 캐주얼",,
3,koko.iron,반팔 티,,데님팬츠,구두/로퍼,,2024년 4월 13일,70,180,"미니멀, 캐주얼",,
3,koko.iron,반팔 티,,면바지,샌들/슬리퍼,,2024년 4월 12일,70,180,"미니멀, 캐주얼",,
3,koko.iron,반팔 티,재킷,데님팬츠,스니커즈/캔버스,기타 모자,2024년 4월 11일,70,180,"미니멀, 캐주얼",,
3,koko.iron,반팔 티,재킷,데님팬츠,스니커즈/캔버스,,2024년 4월 10일,70,180,"미니멀, 캐주얼",,
3,koko.iron,반팔 티,,데님팬츠,스니커즈/캔버스,기타 모자,2024년 4월 9일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"반팔 티, 후드티",,데님팬츠,스니커즈/캔버스,기타 모자,2024년 4월 8일,70,180,"미니멀, 캐주얼",,
3,koko.iron,반팔 티,재킷,데님팬츠,스니커즈/캔버스,,2024년 4월 7일,70,180,"미니멀, 캐주얼",,
3,koko.iron,반팔 티,집업,데님팬츠,스니커즈/캔버스,기타 모자,2024년 4월 6일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"맨투맨, 반팔 티",재킷,데님팬츠,스니커즈/캔버스,기타 모자,2024년 4월 5일,70,180,"미니멀, 캐주얼",,
3,koko.iron,반팔 티,재킷,면바지,스니커즈/캔버스,,2024년 4월 4일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"반팔 티, 셔츠/블라우스",,데님팬츠,스니커즈/캔버스,,2024년 4월 1일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"반팔 티, 셔츠/블라우스",,데님팬츠,스니커즈/캔버스,기타 모자,2024년 3월 31일,70,180,"미니멀, 캐주얼",,
3,koko.iron,반팔 티,"재킷, 집업",데님팬츠,스니커즈/캔버스,기타 모자,2024년 3월 31일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"반팔 티, 셔츠/블라우스",,데님팬츠,스니커즈/캔버스,,2024년 3월 28일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"반팔 티, 셔츠/블라우스",점퍼,데님팬츠,스니커즈/캔버스,,2024년 3월 25일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"니트, 반팔 티, 셔츠/블라우스",,데님팬츠,레더부츠,,2024년 3월 22일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"맨투맨, 반팔 티",,카고바지,스니커즈/캔버스,비니,2024년 3월 20일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"니트, 반팔 티",재킷,면바지,구두/로퍼,,2024년 3월 18일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"맨투맨, 반팔 티",,데님팬츠,구두/로퍼,,2024년 3월 17일,70,180,"미니멀, 캐주얼",,
3,koko.iron,긴팔 티,바람막이,데님팬츠,스니커즈/캔버스,,2024년 3월 13일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"반팔 티, 후드티",,면바지,스니커즈/캔버스,,2024년 3월 11일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"맨투맨, 반팔 티",,데님팬츠,스니커즈/캔버스,,2024년 3월 8일,70,180,"미니멀, 캐주얼",,
3,koko.iron,긴팔 티,재킷,데님팬츠,스니커즈/캔버스,,2024년 3월 6일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"반팔 티, 셔츠/블라우스",재킷,데님팬츠,레더부츠,,2024년 3월 4일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"긴팔 티, 셔츠/블라우스",,데님팬츠,스니커즈/캔버스,,2024년 3월 4일,70,180,"미니멀, 캐주얼",,
3,koko.iron,긴팔 티,재킷,데님팬츠,스니커즈/캔버스,,2024년 2월 25일,70,180,"미니멀, 캐주얼",,
3,koko.iron,긴팔 티,가디건,데님팬츠,스니커즈/캔버스,,2024년 2월 23일,70,180,"미니멀, 캐주얼",,
3,koko.iron,긴팔 티,가디건,데님팬츠,스니커즈/캔버스,,2024년 2월 21일,70,180,"미니멀, 캐주얼",,
3,koko.iron,긴팔 티,바람막이,데님팬츠,스니커즈/캔버스,비니,2024년 2월 19일,70,180,"미니멀, 캐주얼",,
3,koko.iron,긴팔 티,"집업, 패딩",트레이닝/조거 팬츠,레더부츠,,2024년 2월 16일,70,180,"미니멀, 캐주얼",,
3,koko.iron,긴팔 티,재킷,데님팬츠,스니커즈/캔버스,,2024년 2월 12일,70,180,"미니멀, 캐주얼",,
3,koko.iron,긴팔 티,재킷,데님팬츠,스니커즈/캔버스,,2024년 2월 8일,70,180,"미니멀, 캐주얼",,
3,koko.iron,긴팔 티,재킷,데님팬츠,구두/로퍼,,2024년 2월 7일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"맨투맨, 반팔 티",,데님팬츠,스니커즈/캔버스,,2024년 2월 4일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"맨투맨, 반팔 티",,데님팬츠,스니커즈/캔버스,,2024년 2월 2일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"반팔 티, 셔츠/블라우스",,데님팬츠,스니커즈/캔버스,,2024년 1월 31일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"긴팔 티, 니트",코트,면바지,구두/로퍼,,2024년 1월 29일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"니트, 반팔 티",패딩,트레이닝/조거 팬츠,구두/로퍼,,2024년 1월 26일,70,180,"미니멀, 캐주얼",,
3,koko.iron,긴팔 티,패딩,데님팬츠,구두/로퍼,머플러,2024년 1월 24일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"맨투맨, 반팔 티",코트,트레이닝/조거 팬츠,운동화,,2024년 1월 19일,70,180,"미니멀, 캐주얼",,
3,koko.iron,맨투맨,패딩,트레이닝/조거 팬츠,스니커즈/캔버스,장목양말,2024년 1월 17일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"니트, 반팔 티",코트,면바지,레더부츠,,2024년 1월 15일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"니트, 반팔 티",코트,데님팬츠,구두/로퍼,,2024년 1월 9일,70,180,"미니멀, 캐주얼",,
3,koko.iron,긴팔 티,"집업, 패딩",데님팬츠,구두/로퍼,,2024년 1월 8일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"맨투맨, 반팔 티",코트,데님팬츠,스니커즈/캔버스,,2024년 1월 6일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"반팔 티, 후드티",코트,트레이닝/조거 팬츠,운동화,장목양말,2024년 1월 5일,70,180,"미니멀, 캐주얼",,
3,koko.iron,맨투맨,패딩,트레이닝/조거 팬츠,스니커즈/캔버스,,2024년 1월 3일,70,180,"미니멀, 캐주얼",,
3,koko.iron,긴팔 티,집업,데님팬츠,스니커즈/캔버스,,2024년 1월 2일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"맨투맨, 반팔 티",코트,데님팬츠,스니커즈/캔버스,,2023년 12월 31일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"니트, 반팔 티",코트,면바지,스니커즈/캔버스,,2023년 12월 29일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"니트, 반팔 티",코트,데님팬츠,구두/로퍼,,2023년 12월 23일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"맨투맨, 후드티",점퍼,데님팬츠,스니커즈/캔버스,,2023년 12월 22일,70,180,"미니멀, 캐주얼",,
3,koko.iron,맨투맨,패딩,데님팬츠,스니커즈/캔버스,,2023년 12월 21일,70,180,"미니멀, 캐주얼",,
3,koko.iron,긴팔 티,"집업, 코트",데님팬츠,스니커즈/캔버스,,2023년 12월 20일,70,180,"미니멀, 캐주얼",,
3,koko.iron,"니트, 반팔 티",코트,면바지,스니커즈/캔버스,머플러,2023년 12월 18일,70,180,"미니멀, 캐주얼",,
